id,name,released,score,genre
25097,The Legend of Zelda: Ocarina of Time,11/21/1998,99,Action
407559,Soulcalibur (1998),7/30/1998,98,Fighting
54751,Soulcalibur,7/30/1998,98,Action
324997,Baldur's Gate III,8/3/2023,97,Adventure
56123,Metroid Prime,11/17/2002,97,Action
28495,Perfect Dark,5/22/2000,97,Action
28026,Super Mario Odyssey,10/27/2017,97,Arcade
27036,Super Mario Galaxy 2,5/23/2010,97,Platformer
27024,Super Mario Galaxy,11/1/2007,97,Platformer
22511,The Legend of Zelda: Breath of the Wild,3/3/2017,97,Action
401808,Half-Life 2: Update,3/27/2015,96,Shooter
327239,The Legend of Zelda: Tears of the Kingdom,5/12/2023,96,Action
57842,Tekken 3,3/20/1997,96,Fighting
54403,GoldenEye 007 (1997),8/23/1997,96,Shooter
52995,Gran Turismo,12/22/1997,96,Racing
52370,Metal Gear Solid 2: Sons of Liberty,11/12/2001,96,Action
22513,Uncharted 2: Among Thieves,10/13/2009,96,Action
18080,Half-Life,11/8/1998,96,Action
13537,Half-Life 2,11/16/2004,96,Action
4286,BioShock,8/21/2007,96,Action
28,Red Dead Redemption 2,10/26/2018,96,Action
378578,Grand Theft Auto IV: Complete Edition,10/27/2010,95,Action
364800,The Legend of Zelda: Collector's Edition,11/7/2003,95,Action
326243,Elden Ring,2/25/2022,95,Action
45958,XCOM 2: War of the Chosen,8/29/2017,95,Strategy
30799,Baldur's Gate II: Shadows of Amn,9/21/2000,95,RPG
25924,The Legend of Zelda: Majora's Mask,4/27/2000,95,Action
25096,The Legend of Zelda: A Link to the Past,11/21/1991,95,Action
10073,Divinity: Original Sin 2,9/14/2017,95,RPG
4544,Red Dead Redemption,5/18/2010,95,Action
4459,Grand Theft Auto IV,4/29/2008,95,Action
4200,Portal 2,4/18/2011,95,Shooter
3990,The Last Of Us,6/14/2013,95,Action
3636,The Last Of Us Remastered,7/29/2014,95,Action
3179,LittleBigPlanet,10/27/2008,95,Action
494369,Metal Gear Solid 3: Subsistence,12/22/2005,94,Shooter
339958,Persona 5 Royal,3/31/2020,94,Adventure
59199,Divinity: Original Sin 2 - Definitive Edition,8/31/2018,94,RPG
58175,God of War (2018),4/20/2018,94,Action
57607,Metal Gear Solid,9/3/1998,94,Action
54528,Super Mario 64,6/23/1996,94,Platformer
54491,Quake,6/22/1996,94,Action
53341,Jet Set Radio,6/29/2000,94,Action
52815,Command & Conquer,8/31/1995,94,Strategy
52799,Chrono Cross,11/18/1999,94,RPG
42180,The Elder Scrolls V: Skyrim Legendary Edition,6/4/2013,94,Adventure
40841,Resident Evil Code: Veronica,2/3/2000,94,Action
32577,Tony Hawk's Pro Skater 3,10/28/2001,94,Sports
32060,Sid Meier's Civilization 2,2/29/1996,94,Strategy
29593,Diablo,12/31/1996,94,Action
29413,Grim Fandango,10/14/1998,94,Adventure
29179,God of War I,3/22/2005,94,Action
28623,Batman: Arkham City,10/18/2011,94,Action
28581,The Orange Box,1/1/2008,94,Shooter
28224,Burnout 3: Takedown,9/7/2004,94,Racing
27969,The Legend of Zelda: Ocarina of Time 3D,6/19/2011,94,Adventure
27714,Super Mario Advance 4: Super Mario Bros. 3,7/11/2003,94,Platformer
16359,Divinity: Original Sin - Enhanced Edition,10/27/2015,94,RPG
15642,The Elder Scrolls IV: Oblivion Game of the Year Edition,6/16/2009,94,RPG
13780,Sid Meier's Civilization IV,10/25/2005,94,Strategy
5679,The Elder Scrolls V: Skyrim,11/11/2011,94,Action
5678,The Elder Scrolls IV: Oblivion,3/20/2006,94,RPG
4835,N.O.V.A.,12/17/2009,94,Action
4806,Mass Effect 2,1/26/2010,94,Action
4062,BioShock Infinite,3/26/2013,94,Action
3469,Metal Gear Solid 4: Guns of the Patriots,6/12/2008,94,Action
430,Grand Theft Auto: Vice City,10/27/2002,94,Action
392019,Half-Life: Alyx,3/23/2020,93,Action
387230,Pro Evolution Soccer 2,4/25/2002,93,Simulation
359109,SSX (2000),10/26/2000,93,Action
274755,Hades,9/17/2020,93,Action
58829,Super Smash Bros. Ultimate,12/7/2018,93,Fighting
58209,Dwarf Fortress,8/8/2006,93,RPG
54744,Skies of Arcadia,10/5/2000,93,RPG
53562,SSX 3,10/21/2003,93,Sports
53392,Mario Kart: Super Circuit (2001),7/21/2001,93,Racing
52996,Gran Turismo 2,12/11/1999,93,Racing
52790,Castlevania: Symphony of the Night,3/20/1997,93,Action
51325,The Last of Us Part II,6/19/2020,93,Action
39707,God of War II,3/13/2007,93,Action
38067,StarCraft II: Wings of Liberty,7/27/2010,93,Strategy
35374,Unreal Tournament 2004,3/16/2004,93,Action
30813,Maniac Mansion: Day of the Tentacle,6/25/1993,93,Adventure
29742,Homeworld,9/1/1999,93,Strategy
28619,Gears of War 2,11/7/2008,93,Shooter
27974,Super Mario 3D World,11/21/2013,93,Action
26824,The Legend of Zelda: Skyward Sword,11/20/2011,93,Adventure
25449,Okami,4/20/2006,93,Action
25414,Super Smash Bros. Brawl,3/9/2008,93,Action
25178,Paper Mario (2000),8/11/2000,93,RPG
23599,World of Warcraft,11/23/2004,93,RPG
22510,StarCraft II,7/27/2010,93,Strategy
19625,Unreal Tournament 2004: Editor's Choice Edition,3/17/2004,93,Action
18183,Company of Heroes,9/11/2006,93,Strategy
2462,Uncharted 4: A Thief’s End,5/10/2016,93,Action
949,Cut the Rope,10/4/2010,93,Arcade
432,Grand Theft Auto III,10/22/2001,93,Action
416,Grand Theft Auto: San Andreas,10/26/2004,93,Action
49,Persona 5,9/15/2016,93,Action
452648,Demon's Souls (2020),11/12/2020,92,Action
425200,A Monster's Expedition,9/10/2020,92,Adventure
400295,Soul Calibur II,7/5/2002,92,Fighting
328001,Soul Caliber 2,7/5/2002,92,Fighting
316819,Forza Motorsport (2005),5/3/2005,92,Racing
301511,Final Fantasy XII,3/16/2006,92,RPG
257255,The Witcher 3 Wild Hunt - Complete Edition,8/30/2016,92,Adventure
57954,Vagrant Story (2000),2/10/2000,92,Action
57944,Tony Hawk's Pro Skater,8/31/1999,92,Sports
57669,PaRappa the Rapper,12/6/1996,92,Action
56222,Super Smash Bros. Melee,11/21/2001,92,Action
56124,Metroid Prime 2: Echoes,11/15/2004,92,Action
56041,Eternal Darkness: Sanity's Requiem,6/23/2002,92,Action
54556,Wave Race 64: Kawasaki Jet Ski,9/27/1996,92,Racing
54373,Conker's Bad Fur Day,3/4/2001,92,Action
54311,Medal of Honor (1999),10/31/1999,92,Action
53563,SSX Tricky,11/5/2001,92,Sports
52371,Super Mario Sunshine,8/25/2002,92,Action
47326,OKAMI HD,12/12/2017,92,Action
43252,The Witcher 3: Wild Hunt – Blood and Wine,5/30/2016,92,RPG
41128,Final Fantasy X,7/19/2001,92,RPG
39039,God of War III,3/16/2010,92,Action
32595,Age of Empires II: Age of Kings,9/30/1999,92,Strategy
32186,Unreal Tournament,11/22/1999,92,Action
31777,Thief: The Dark Project,12/2/1998,92,Action
30445,Warcraft 3: Reign of Chaos,6/1/2002,92,Strategy
30202,Sid Meier's Gettysburg!,9/30/1997,92,Strategy
29717,Sid Meier's Alpha Centauri,2/12/1999,92,Strategy
29131,Forza Motorsport 3,10/22/2009,92,Racing
28532,Banjo-Kazooie,5/31/1998,92,Action
27968,Fire Emblem Awakening,4/19/2012,92,RPG
27390,Metroid Fusion,11/17/2002,92,Action
24993,Age of Empires: The Age of Kings,2/14/2006,92,Strategy
24899,Super Mario World,11/21/1990,92,Arcade
23967,Super Mario World: Super Mario Advance 2,12/14/2001,92,Action
23760,Bayonetta 2,9/20/2014,92,Action
23165,Mario Kart 8 Deluxe,4/27/2017,92,Racing
23027,The Walking Dead: Season 1,4/23/2012,92,Action
21709,Unreal Tournament: Game of the Year Edition,10/25/2000,92,Action
20709,Tom Clancy's Splinter Cell Chaos Theory,3/21/2005,92,Action
16191,Galactic Civilizations II: Ultimate Edition,12/2/2011,92,Strategy
15679,Out of the Park Baseball 17,3/22/2016,92,Strategy
14929,Rome: Total War - Collection,8/28/2007,92,Strategy
13627,Undertale,9/14/2015,92,RPG
11859,Team Fortress 2,10/10/2007,92,Action
10615,System Shock 2,8/11/1999,92,Action
10050,Thief Gold,10/29/1999,92,Action
5703,Uncharted 3: Drake's Deception,11/1/2011,92,Action
5645,Rock Band 3,8/11/2010,92,Arcade
5161,Braid,8/6/2008,92,Action
4535,Call of Duty 4: Modern Warfare,11/5/2007,92,Action
3498,Grand Theft Auto V,9/17/2013,92,Action
3387,Bloodborne,3/24/2015,92,Action
3328,The Witcher 3: Wild Hunt,5/18/2015,92,Action
3254,Journey,3/13/2012,92,Adventure
2351,Prune,7/23/2015,92,Family
1063,FINAL FANTASY VI,4/2/1994,92,RPG
517,Alto's Adventure,2/19/2015,92,Action
455,Threes!,2/5/2014,92,Casual
484816,DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition,9/27/2019,91,Adventure
297208,NieR:Automata Game of the YoRHa Edition,2/26/2019,91,Action
290867,Klonoa 2: Lunatea's Veil,7/24/2001,91,Action
262382,Disco Elysium,10/14/2019,91,Adventure
244693,Ninja Gaiden (2004),3/2/2004,91,Action
59248,Shadow of the Colossus,10/18/2005,91,Action
58813,Resident Evil 2,1/25/2019,91,Action
58084,DRAGON QUEST XI: Echoes of an Elusive Age,7/29/2017,91,RPG
57799,Spyro: Year of the Dragon,10/24/2000,91,Action
57519,Super Mario World 2: Yoshi's Island,8/5/1995,91,Platformer
54439,Mario Tennis (2000),7/21/2000,91,Sports
53181,Castlevania: Circle of the Moon,6/10/2001,91,Action
53180,Castlevania: Aria of Sorrow,5/6/2003,91,Action
52368,Shadow of the Colossus  (2018),2/6/2018,91,Action
52334,Guitar Hero,11/7/2005,91,Simulation
51288,Cinco Paus,12/25/2017,91,Adventure
39035,Killzone 2,2/25/2009,91,Action
38218,World of Warcraft: Wrath of the Lich King,11/13/2008,91,RPG
36850,World of Warcraft: The Burning Crusade,1/16/2007,91,RPG
34791,Battlefield 2,6/21/2005,91,Action
34734,Tony Hawk's Pro Skater 4,10/23/2002,91,Sports
32797,No One Lives Forever 2: A Spy in H.A.R.M.'s Way,10/1/2002,91,Action
